TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
H6,594,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=24189,25.45,70
Doubtful Iron,0,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=5036,-8.3,-36.1
"Iron, IIAB",256000,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=5098,44.55,131.63333
"Iron, IIIAB-an",63000,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=24050,50.91667,9.18333
Stone-uncl,2400,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=5200,11.75,122.33333
L/LL6,1710.5,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=23741,25.93333,84.28333
L6,1455,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=23606,30.9,32.48333
H6,840,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=7777,28.26667,78.78333
L6,611,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=4977,36.75,-93.5
L,600,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=24023,34.5,133.75
L6,355,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=22589,38.66667,116.13333
LL,100,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=22385,24.16667,87.76667
L6,104000,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=5395,44.9,-90.28333
L6,52900,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=16903,35.66667,103.5
L6,13400,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=23729,56.58333,-3.25
L6,1460,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=5465,10.2,76.26667
L6,1020,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=24054,32.16667,-95.1
L6,880,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=12028,39.08333,-94.4
"Iron, IIE",380,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=10860,27.88333,68.53333
H4,290.4,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=22387,23.98333,87.08333
L6,240,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=23473,38.3,27.13333
Achondrite-ung,0.15,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=55584,44.11667,27.26667
L4,200000,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23176,52.55,46.55
H4,152000,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=10926,57.35,37.61667
H5,90000,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=22599,46.88333,-102.31667
"Iron, IIIAB",1050,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=16994,36.21667,-92.26667
Pseudometeorite,980,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23800,-37.36667,-59.33333
L5,905,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23801,35.43333,136.23333
H5,22,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=24321,-26,30
H5,120000,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=5169,5,48
Aubrite,17000,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=5496,36.83333,-84.35
"Iron, IVA",10000,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=22585,-6.73333,111.36667
L6,4910,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=22394,38.2,115.7
EH4,4239,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=379,32.1,71.8
OC,212,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=5187,43.83889,20.33333
LL3.3,24.3,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=23091,38.16667,-76.38333
H5,71400,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=15492,25.48333,81.98333
OC,4460,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=12381,37.05,138.38333
L,1440,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=417,-30.86667,-64.55
L4,1280,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=4883,25.25417,80.625
H5,1222,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=23603,49.98333,7.53333
L6,13100,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=24060,9.66667,105.66667
H5,10600,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=22766,44.51667,-83.95
"Iron, IAB-ung",3760,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=18837,31.95,-83.51667
L6,3680,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23534,25.85,87.5775
"Iron, IIIAB",2462,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23115,25.66667,74.86667
H3.4,1265,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23525,37.83333,-76.7
LL3.8,1100,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=5035,33.88333,35.5
CM2,315,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=11829,28.38333,75.78333
L5,16500,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=24012,-6.66667,106.58333
H3,3640,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=10111,30.83333,-97.76667
H5,3500,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=11869,55.46667,13.78333
L6,1810,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=16890,38.12167,140.06167
L6,345,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=4926,34.5,-88.66667
Iron,12,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=18118,38.13333,14.96667
Doubtful meteorite,0,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=23620,58,15
H5,149000,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=16727,43.39056,1.9625
L6,23200,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=16899,13.73333,100.08333
Eucrite-cm,1800,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=23502,-8.38333,-36.76667
Stone-uncl,1415,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=11895,9.06667,38.41667
L6,1300,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=2346,52.05,0.3
H4,560,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=5056,13.76667,5.3
LL5,150000,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=18013,38.71667,-7.06667
Diogenite,40300,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=12198,40.35,-104.9
Eucrite-mmict,18000,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=5028,11.65,-3.65
L6,6067,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=10123,36.78333,-78.08333
L6,5500,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=23165,-33.9,-61.7
L6,4703,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=16874,24.5,90.21667
L6,3500,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=23736,36.48333,-90.66667
H5,2000,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=12395,-37.33333,-61.53333
OC,1000,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=24123,34.8,127
H5,82,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=10086,34.6,116.75
L6,24000,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=424,19.08333,8.38333
H6,7000,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=22357,-30.11667,28.7
L4,7000,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=12465,47.75,16.23333
Howardite,2945,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=5334,41.93333,-7.46667
Diogenite,1470,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=10019,51.75,4
H4,363,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=17960,43.33333,141.86667
L5,300,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=22587,-32.75,-65.28333
Stone-uncl,0,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=24181,-25.83333,-56.5
L5,9241,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=14721,24.95,75.15
L6,5850,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=17997,38.18333,-5.4
Stone-uncl,1500,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=24129,34.48333,133.28333
EL6,973,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=12067,26.75,68.41667
Iron,238,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=12343,35.73333,139.75
L3,135,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=18079,39.8,-91.5
L,76.5,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=24108,46.93333,7.21667
"Iron, IAB-ung",103000,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24101,7.95,8.08333
L6,74800,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=23998,38.2,-89.68333
H5,1400,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=17988,52.28333,8.05
L6,1000,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=15401,45.21667,62.08333
OC,958,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=23670,44.41667,23.5
L/LL6,640,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24057,61.3,12.3
Doubtful meteorite,0,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=10845,52.52639,21.42917
Pseudometeorite,0,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=3,35.95,140.4
Doubtful stone,0,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=16850,45.21667,-122.56667
H6,17000,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=16908,19.25,77
H5,3422,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=24136,47.11667,7.55
H5,3050,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=12053,-31.18333,-57.95
L6,367.5,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=16912,-34.05,150.68889
L6,246,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=18042,58.88333,9.4
H5,40000,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=18015,39.56667,-2.1
H5,16000,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=4984,39.8,-101.2
L5,6109,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=12297,56.75,75.33333
L6,6000,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=23887,35.13333,44.45
Eucrite-mmict,3858,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=18069,55.66667,25
L4,3700,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=4925,35.96667,-82.48333
L6,3332,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=22593,28.2,76.66667
LL5,408000,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18101,36.06667,-90.5
CK4,41730,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=12264,-35.08333,139.91667
H5,16700,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=16645,35.4,-92.05
L6,16570,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18009,52.95,8.16667
L6,8888,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=16738,-40.975,145.6
H5,6862,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=14650,56.65,15.86667
H6,2085,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18846,30.7,-96.11667
L6,1620,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=398,-31.6,-65.23333
CM2,1342,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=5112,54.23333,52.48333
OC,1320,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=11467,35,127.5
H,470,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15395,-3.13333,33.51667
Diogenite,12000,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=23884,32.95,10.41667
Winonaite,157,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=18865,53.03639,-4.31944
LL5,90,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=12344,42.51667,26.16667
Pseudometeorite,29.5,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=7765,40.51667,-104.68333
Stone-uncl,0,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=24342,35.13333,113.33333
H5,0,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=15397,-28.93333,-63.23333
H6,22000,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=11432,-33,-58.61667
H6,5070,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=2329,38.5,-94.3
L6,4047,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=12385,55.2,75.33333
LL5,3698,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=12289,25.55,83.11667
Aubrite,3200,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=12299,16,36
L6,2125,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=18883,48.3025,13.94083
LL6,1161,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=7723,32.33333,-6.3
LL4,66,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=24322,-28.66667,18.91667
Doubtful meteorite,0,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=10853,16.3,0
L6,66000,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=18798,56.63333,39.43333
L5,18300,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=5316,-30.78333,-58.05
LL6,8400,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=5340,35.03333,-81.88333
H4,7800,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=18811,12,105.48333
"Iron, IIF",7000,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=22590,48.6,45.66667
Eucrite-pmict,5100,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=18110,36.21667,-103.4
Eucrite-mmict,4100,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=23614,42.58333,-103.66667
Aubrite,3393,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=18799,55.5,66.08333
Eucrite-pmict,807,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=15400,-29.45,26.76667
LL,665,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=18879,31.41667,118.5
CM2,629,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=4938,-6.33333,106
LL6,265,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=4885,34.75,-87
L6,250,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=17936,42.91667,102.46667
Eucrite-pmict,219,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=5140,52.13333,59.31667
Mesosiderite-A1,188,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=7758,-3,151
OC,150,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=15393,32.21667,-104
H4,56000,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=10075,35.55,-77.53333
LL6,22300,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=15405,-17.65,31.6
"Iron, IAB-sLL",10322,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=4922,28.48333,78.5
H3-6,9000,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=11472,50.31667,3.73333
H4,2360,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=10079,36.05,-94.16667
L4,1310,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=22611,-26.1,-49.8
H6,750,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=5264,-30.88333,-64.55
L5,412,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=23455,49.23333,17.56667
H6,230,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=24009,13.63333,79.41667
R3.8-6,67,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=22782,0.26667,36.53333
Mesosiderite-A3,59000,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=14718,52,19.91667
Mesosiderite-A1,37350,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=18171,23.15,91.18333
L6,23474,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=18793,23.325,91
Doubtful stone,10690,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=4889,43,141
H4,3996,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=16976,52.45,78.63333
Doubtful Iron,824,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=15391,39.45,2.81667
H5,637,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=23745,44.86667,133.16667
L6,400,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=15380,-7.75,111.53333
Doubtful Iron,0.8,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=23104,35.16667,136.91667
H6,3973,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=11995,58.2,82.93333
Eucrite-pmict,1995,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=15372,-28.83333,31.95
H4,347,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=16922,-21.73333,165.9
CM2,78.4,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=5470,35.95,-97.58333
Doubtful stone,0,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=11991,17.36667,78.46667
Doubtful stone,0,1936,http://www.lpi.usra.edu/meteor/metbull.php?code=2342,35.86667,75.33333
L6,300000,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=18905,-29.03333,-53.05
CO3.2,200000,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=12229,55.43333,53.25
L6,21000,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=23888,46.71667,23.5
L6,3500,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=12253,42.45,73.36667
L6,3225,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=22392,25.38333,72.01667
L5,540,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=14764,19,97
OC,0,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=5009,-32.33333,-64.86667
L6,2830,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=4913,36.8,-108
L6,2250,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=12368,51.15,31.7
H5,2130,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=18098,8.06667,124.28333
H6,1770.5,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=5021,39.08333,-89.15
L6,800,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=12743,52.45,51.56667
H,710,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=12266,35.36667,136.76667
CI1,704.5,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=12063,-8.41667,32.43333
LL6,303,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=5349,40.93333,-79.73333
H5,142.5,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=18175,52.3,77.03333
LL6,67.8,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=5076,40.48,-89.00417
H6,47700,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=7731,42.52,-82.26
H6,17900,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=2298,20.88333,76.86667
L4,6937,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=12275,29.45,-96
H4,3336,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=7776,56.03333,13
Eucrite-mmict,1700,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=5342,50.83333,34
H5,1590,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=23481,-7.23333,107.33333
H5-6,1303,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=10924,-7.25,107.7
"Iron, IIIAB",737.6,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=17969,21.20833,94.91667
Howardite,225,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=24218,45.58333,-122.35
CM2,60,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=23164,24.16667,-99.33333
L6,3766,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=22384,26.45,82.9
L4,3300,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=12270,-7.75,112.01667
LL3-6,1047,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=5040,22.68333,90.65
LL3.00,691,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=23487,22.25,79
CM2,113,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=10042,19.03333,81.89167
L5,11000,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=18812,15.71667,108.1
H6,3200,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=15421,4.66667,29.25
L5,705,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=5065,40.91667,-78.08333
L3-4,600,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=15383,-26.16667,-49.93333
H4,26000,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=10120,-33.35,146.85833
Howardite,11355,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=12251,4.7,33.63333
H4,6500,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=2304,9.53333,39.71667
L6,4975,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=15454,-1.21667,30
L6,2770,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=12238,26.03333,81.46667
EH3,800,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=18109,26.2,85.4
Howardite,357,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=5165,10.01667,9.58333
CM2,253.6,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=18860,66.34833,14.015
L6,51500,1943,http://www.lpi.usra.edu/meteor/metbull.php?code=12755,35.88333,-99.33333
H6,3880,1943,http://www.lpi.usra.edu/meteor/metbull.php?code=5023,-26.16667,28.41667
L6,2117,1943,http://www.lpi.usra.edu/meteor/metbull.php?code=7754,33.43333,127.26667
H6,2799,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=24144,11.98333,79.75
L3.4,1456,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=11479,57.81667,16.23333
Stone-uncl,1100,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=16820,-11.5,33.5
H6,259.1,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=24032,42.06667,-104.16667
L6,224.2,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=16636,46.23333,17.53333
Stone-uncl,0,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=24071,30,90.75
Stone-uncl,0,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=10166,28.25,7
L5,23000,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=52412,31.47556,113.56694
LL6,6000,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=15491,0,37.66667
"Iron, ungrouped",2050,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=23671,1.7,33.63333
L6,1384.2,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=4888,34.31667,-96.15
Aubrite,70000,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=18786,30.125,-103.11667
LL3.2,50000,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=12364,47.83333,30.76667
L6,28100,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=24210,34.33333,-98.3
L6,25000,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=5177,40.2,29.23333
H5,4000,1946,http://www.lpi.usra.edu/meteor/metbull.php?code=12357,54.33333,56.08333
"Iron, IIAB",23000000,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,46.16,134.65333
L5,17300,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=22584,42.475,-5.33333
EL6,10000,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=7760,40.78167,-96.47167
Doubtful stone,4300,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=10092,47.5,7.31667
L6,2300,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=12461,58.85,16.73333
L6,480,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=10919,9.6,9.91667
H5,150,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23483,22.83333,4.98333
Aubrite,1100000,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=17922,39.68333,-99.86667
L,20000,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=24140,-44.11667,-66.15
H5,4500,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=15414,34.23333,72.08333
L6,200000,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12377,55.78333,61.36667
L4-6,6000,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=22783,-10.26667,38.76667
LL6,2840,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=5026,45.95,-67.55
L6,1300,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=16627,45.76667,3.25
LL5,968,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=11443,9.91667,13.98333
LL3-6,910,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=390,44.83333,95.16667
H5,794,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=4993,53.01667,-4.1
L6,779,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=426,29.51667,35.05
Eucrite-mmict,750,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=24169,57.8,45.8
H5,682,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=18082,21.3,-157.78333
L6,180,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12260,12.9,7.15
L,625,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=454,2,22.66667
Doubtful stone,1.6,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12337,33.545,133.54806
OC,0,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=11994,38,35
CM2,12600,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=16882,36.6,-88.1
H5,10800,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=24158,56.13333,77.26667
H5,7450,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=2340,-31.41667,-60.66667
L5,4885,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=16725,38.01667,-8.25
L6,2121,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=18116,-19.53333,-48.56667
L,1000,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=15379,25.91667,86.36667
H4,1000,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=23089,38.7,-90.23333
H5,725,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=10870,12.91667,11.91667
H,357.4,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=24053,58.47333,8.86667
H6,342,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=23908,33.4,70.6
Diogenite-pm,102,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=10861,41.68333,-112.13333
L6,0,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=16733,-15.96667,27.35
L5,54640,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=7824,47.83333,37.66667
LL3.4,3555,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=15409,45.81667,44.63333
L3-6,1900,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=7736,42.45833,18.44167
H4,950,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=12232,-6.83333,29.5
H6,720,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=2,56.18333,10.23333
Unknown,0,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=14759,-7.21667,29.43333
EH4,107000,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=6,54.21667,-113
H4,9330,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=4905,-21.46028,-49.95083
LL6,5500,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=16697,32.33333,120.66667
LL6,36.1,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=10848,7.05,12.43333
EH3/4-an,28,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=10849,7.05,12.43333
Pseudometeorite,0,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=12293,49.2,113.46667
