TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
L6,13200,1815,http://www.lpi.usra.edu/meteor/metbull.php?code=7750,30.3,76.63333
Martian (chassignite),4000,1815,http://www.lpi.usra.edu/meteor/metbull.php?code=5331,47.71667,5.36667
H?,0.2,1817,http://www.lpi.usra.edu/meteor/metbull.php?code=11468,35.65,139.33333
H4,8500,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=23501,41.05,23.56667
L4,2750,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=23645,55,35
Eucrite-mmict,5000,1819,http://www.lpi.usra.edu/meteor/metbull.php?code=12202,45.43333,-0.45
L5,3000,1819,http://www.lpi.usra.edu/meteor/metbull.php?code=18853,50.93333,12.13333
Doubtful meteorite,0,1819,http://www.lpi.usra.edu/meteor/metbull.php?code=15441,40.6,14.33333
H4,5213,1820,http://www.lpi.usra.edu/meteor/metbull.php?code=14670,56,26.43333
Eucrite-mmict,91000,1821,http://www.lpi.usra.edu/meteor/metbull.php?code=12214,44.71667,4.3
L6,0,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=2301,47.46667,-0.55
L6,4000,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=10839,25.95,80.81667
H5,277,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=10041,48.18333,6.46667
LL5,100,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=24112,30.33333,76.33333
H6,89,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=12221,27.08333,78.33333
Pseudometeorite,0,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=5276,59.36667,13.51667
Eucrite-pmict,2300,1823,http://www.lpi.usra.edu/meteor/metbull.php?code=16984,44.08333,-69.48333
L4,614,1823,http://www.lpi.usra.edu/meteor/metbull.php?code=5117,51.33333,33.88333
OC,2000,1824,http://www.lpi.usra.edu/meteor/metbull.php?code=24037,51.73333,102.53333
CR2,1000,1824,http://www.lpi.usra.edu/meteor/metbull.php?code=22586,44.76667,11.28333
H6,7500,1825,http://www.lpi.usra.edu/meteor/metbull.php?code=16904,38.41667,-77.16667
L5,2420,1825,http://www.lpi.usra.edu/meteor/metbull.php?code=11904,21.3,-157.86667
Doubtful meteorite,0,1825,http://www.lpi.usra.edu/meteor/metbull.php?code=18027,24,76
L6,40000,1826,http://www.lpi.usra.edu/meteor/metbull.php?code=18176,48.53333,35.98333
H6,132.7,1826,http://www.lpi.usra.edu/meteor/metbull.php?code=10846,44.3,0.4
Pallasite,42,1826,http://www.lpi.usra.edu/meteor/metbull.php?code=16696,37.28333,14.7
L6,5000,1827,http://www.lpi.usra.edu/meteor/metbull.php?code=7728,36.4,-86.5
Eucrite-pmict,4000,1827,http://www.lpi.usra.edu/meteor/metbull.php?code=5042,53.1,23.2
L6,350,1827,http://www.lpi.usra.edu/meteor/metbull.php?code=16629,25.9,83.61667
LL5,1800,1828,http://www.lpi.usra.edu/meteor/metbull.php?code=22603,37.46667,-77.5
L6,16300,1829,http://www.lpi.usra.edu/meteor/metbull.php?code=10164,33.01667,-83.96667
L6,2440,1829,http://www.lpi.usra.edu/meteor/metbull.php?code=12355,54.03333,40.9
L6,28,1829,http://www.lpi.usra.edu/meteor/metbull.php?code=6634,40.25,-74
L6,1060,1830,http://www.lpi.usra.edu/meteor/metbull.php?code=12740,51.9,-1.11667
LL5,2,1830,http://www.lpi.usra.edu/meteor/metbull.php?code=18797,56.4,-3.43333
L6,20000,1831,http://www.lpi.usra.edu/meteor/metbull.php?code=24191,46.63333,0.16667
H5,3750,1831,http://www.lpi.usra.edu/meteor/metbull.php?code=24244,48.95,17.38333
H6,470,1833,http://www.lpi.usra.edu/meteor/metbull.php?code=5072,49.36667,16.63333
Doubtful meteorite,218,1833,http://www.lpi.usra.edu/meteor/metbull.php?code=5498,-18.8,-44.61667
H6,12000,1834,http://www.lpi.usra.edu/meteor/metbull.php?code=5330,29.48333,75.5
LL6,12000,1834,http://www.lpi.usra.edu/meteor/metbull.php?code=18002,50.83333,25.5
Doubtful meteorite,6800,1834,http://www.lpi.usra.edu/meteor/metbull.php?code=15432,37.78333,12.41667
"Iron, IVA",4300,1835,http://www.lpi.usra.edu/meteor/metbull.php?code=5328,36.16667,-87.33333
Doubtful chondrite,1100,1835,http://www.lpi.usra.edu/meteor/metbull.php?code=23605,46.08333,5.33333
LL5,700,1835,http://www.lpi.usra.edu/meteor/metbull.php?code=461,51.78333,-1.78333
H5,1500,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=15370,-5.2,-36.66667
L6,1000,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=15438,45.36667,1.86667
Aubrite,800,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=4893,44.38333,5.16667
H5,10500,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=11207,49.26667,18.71667
L6,1500,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=10051,46.25,-1.1
L5,8800,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=5320,20.26667,76.01667
CM2,5200,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=5397,-33.13333,19.38333
H4,1800,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=427,29.71667,77.95
L6,500,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=16729,47.63333,1.58333
H5,230,1838,http://www.lpi.usra.edu/meteor/metbull.php?code=12222,27.25,79.96667
L5,491,1839,http://www.lpi.usra.edu/meteor/metbull.php?code=14664,37.91667,-92.08333
H5,6460,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=5308,45.08333,8.3
LL6,3000,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=12256,47.21667,81.01667
LL7,710,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=24103,51.65,5.61667
L6,30000,1841,http://www.lpi.usra.edu/meteor/metbull.php?code=5332,47.93333,2.91667
L6,5500,1841,http://www.lpi.usra.edu/meteor/metbull.php?code=23082,46.95,-1.5
H4,1000,1841,http://www.lpi.usra.edu/meteor/metbull.php?code=11426,51.93333,15.5
L6,10000,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=16640,46.18333,16.1
Mesosiderite-A1,3200,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=4946,42.38333,-2.5
L6,2000,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=4900,44.33333,3.23333
OC,0,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=16887,23.05,72.63333
Doubtful stone,0,1842,http://www.lpi.usra.edu/meteor/metbull.php?code=5269,51.46667,-3.16667
L6,9700,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=24135,52.11667,5.18333
H5,8000,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=24165,48.41667,43.2
Aubrite,6000,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=5059,34.16667,-80.28333
H6,3250,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=12332,51.6,10.8
Diogenite,50,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=15403,20.96667,76.1
Stone-uncl,0,1843,http://www.lpi.usra.edu/meteor/metbull.php?code=18816,41.36667,-6.23333
H5,1500,1844,http://www.lpi.usra.edu/meteor/metbull.php?code=10078,44.38333,2.81667
H5,1200,1844,http://www.lpi.usra.edu/meteor/metbull.php?code=5451,21.16667,-100.86667
H6,140,1844,http://www.lpi.usra.edu/meteor/metbull.php?code=12309,54.66667,-7.66667
Doubtful meteorite,0,1844,http://www.lpi.usra.edu/meteor/metbull.php?code=22610,-30.61667,-57.96667
H5,3000,1845,http://www.lpi.usra.edu/meteor/metbull.php?code=12748,47.16667,0.43333
Howardite,780,1845,http://www.lpi.usra.edu/meteor/metbull.php?code=12749,48.53333,-0.86667
Doubtful meteorite,200000,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=14717,42.68333,-71.35
L6,8000,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=23460,48.11667,10.46667
L5,3130,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=16726,43.26667,13.35
H6,2300,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=5260,37.26667,-89.58333
Doubtful stone,667,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=18864,-25.08333,-50.15
"Iron, IIAB",39000,1847,http://www.lpi.usra.edu/meteor/metbull.php?code=5133,50.6,16.3
L6,28400,1847,http://www.lpi.usra.edu/meteor/metbull.php?code=15424,41.9,-91.6
L5,3000,1848,http://www.lpi.usra.edu/meteor/metbull.php?code=15429,44.5,0.15
OC,1800,1848,http://www.lpi.usra.edu/meteor/metbull.php?code=6699,14.88333,75.6
L6,850,1848,http://www.lpi.usra.edu/meteor/metbull.php?code=23621,59.73333,10.86667
L6,94,1848,http://www.lpi.usra.edu/meteor/metbull.php?code=5293,44.38333,-68.75
H4,8600,1849,http://www.lpi.usra.edu/meteor/metbull.php?code=16720,35.25,-80.5
Doubtful OC,123,1849,http://www.lpi.usra.edu/meteor/metbull.php?code=12329,46.63333,14.3
H4,135000,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=12286,38.98333,141.61667
Diogenite,4000,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=23521,23.1,87.3
Doubtful meteorite,0,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=4943,41.36667,2.16667
Doubtful meteorite,0,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=18891,73.5,-115
H6,5000,1851,http://www.lpi.usra.edu/meteor/metbull.php?code=17959,41.63333,0.75
H3/4,1000,1851,http://www.lpi.usra.edu/meteor/metbull.php?code=11466,51.91667,8.38333
